+----+------+------+------+------+------+------+-----+------+------+--------+--------+--------+------+------+------+------+----------------------------------+
| ST | Mux0 | Mux1 | Mux2 | Mux3 | Mux4 | Mux5 | Inc | JmpA | JmpB |   OutA |   OutB |    Out | CfgA | CfgB | CfgC | CfgD |                             STEW |
+----+------+------+------+------+------+------+-----+------+------+--------+--------+--------+------+------+------+------+----------------------------------+
|  0 |   00 |   0d |   00 |   00 |   00 |   00 |   0 |   01 |   00 | 000000 | 000000 | 000000 |   05 |   00 |    a |    0 | 0a000500000000000000001000000340 |
|  1 |   01 |   0d |   00 |   00 |   00 |   00 |   0 |   02 |   00 | 010000 | 000000 | 000000 |   aa |   fe |    a |    0 | 0afeaa08000000000000002000000342 |
|  2 |   00 |   0d |   00 |   00 |   00 |   00 |   0 |   04 |   00 | 000010 | 000000 | 000000 |   ff |   00 |    a |    0 | 0a00ff00008000000000004000000340 |
|  3 |   01 |   0d |   00 |   00 |   00 |   00 |   0 |   04 |   00 | 000010 | 000000 | 000000 |   aa |   fe |    a |    0 | 0afeaa00008000000000004000000342 |
|  4 |   01 |   0d |   00 |   00 |   00 |   00 |   0 |   05 |   00 | 002100 | 000000 | 000000 |   55 |   fe |    a |    0 | 0afe5501080000000000005000000342 |
|  5 |   0e |   0d |   00 |   00 |   00 |   00 |   1 |   03 |   00 | 000000 | 000000 | 000000 |   55 |   00 |    a |    0 | 0a00550000000000000000300000035d |
|  6 |   00 |   0d |   00 |   00 |   00 |   00 |   0 |   01 |   00 | 004020 | 000000 | 000000 |   ff |   00 |    a |    0 | 0a00ff02010000000000001000000340 |
|  7 |   00 |   0d |   00 |   00 |   00 |   00 |   0 |   00 |   00 | 000000 | 000000 | 000000 |   ff |   00 |    a |    0 | 0a00ff00000000000000000000000340 |
|  8 |   00 |   0d |   00 |   00 |   00 |   00 |   0 |   00 |   00 | 000000 | 000000 | 000000 |   ff |   00 |    a |    0 | 0a00ff00000000000000000000000340 |
|  9 |   00 |   0d |   00 |   00 |   00 |   00 |   0 |   00 |   00 | 000000 | 000000 | 000000 |   ff |   00 |    a |    0 | 0a00ff00000000000000000000000340 |
|  a |   00 |   0d |   00 |   00 |   00 |   00 |   0 |   00 |   00 | 000000 | 000000 | 000000 |   ff |   00 |    a |    0 | 0a00ff00000000000000000000000340 |
|  b |   00 |   0d |   00 |   00 |   00 |   00 |   0 |   00 |   00 | 000000 | 000000 | 000000 |   ff |   00 |    a |    0 | 0a00ff00000000000000000000000340 |
|  c |   00 |   0d |   00 |   00 |   00 |   00 |   0 |   00 |   00 | 000000 | 000000 | 000000 |   ff |   00 |    a |    0 | 0a00ff00000000000000000000000340 |
|  d |   00 |   0d |   00 |   00 |   00 |   00 |   0 |   00 |   00 | 000000 | 000000 | 000000 |   ff |   00 |    a |    0 | 0a00ff00000000000000000000000340 |
|  e |   00 |   0d |   00 |   00 |   00 |   00 |   0 |   00 |   00 | 000000 | 000000 | 000000 |   ff |   00 |    a |    0 | 0a00ff00000000000000000000000340 |
|  f |   00 |   0d |   00 |   00 |   00 |   00 |   0 |   00 |   00 | 000000 | 000000 | 000000 |   ff |   00 |    a |    0 | 0a00ff00000000000000000000000340 |
| 10 |   00 |   0d |   00 |   00 |   00 |   00 |   0 |   00 |   00 | 000000 | 000000 | 000000 |   ff |   00 |    a |    0 | 0a00ff00000000000000000000000340 |
| 11 |   00 |   0d |   00 |   00 |   00 |   00 |   0 |   00 |   00 | 000000 | 000000 | 000000 |   ff |   00 |    a |    0 | 0a00ff00000000000000000000000340 |
| 12 |   00 |   0d |   00 |   00 |   00 |   00 |   0 |   00 |   00 | 000000 | 000000 | 000000 |   ff |   00 |    a |    0 | 0a00ff00000000000000000000000340 |
| 13 |   00 |   0d |   00 |   00 |   00 |   00 |   0 |   00 |   00 | 000000 | 000000 | 000000 |   ff |   00 |    a |    0 | 0a00ff00000000000000000000000340 |
| 14 |   00 |   0d |   00 |   00 |   00 |   00 |   0 |   00 |   00 | 000000 | 000000 | 000000 |   ff |   00 |    a |    0 | 0a00ff00000000000000000000000340 |
| 15 |   00 |   0d |   00 |   00 |   00 |   00 |   0 |   00 |   00 | 000000 | 000000 | 000000 |   ff |   00 |    a |    0 | 0a00ff00000000000000000000000340 |
| 16 |   00 |   0d |   00 |   00 |   00 |   00 |   0 |   00 |   00 | 000000 | 000000 | 000000 |   ff |   00 |    a |    0 | 0a00ff00000000000000000000000340 |
| 17 |   00 |   0d |   00 |   00 |   00 |   00 |   0 |   00 |   00 | 000000 | 000000 | 000000 |   ff |   00 |    a |    0 | 0a00ff00000000000000000000000340 |
