+----+------+------+------+------+------+------+-----+------+------+--------+--------+--------+------+------+------+------+----------------------------------+
| ST | Mux0 | Mux1 | Mux2 | Mux3 | Mux4 | Mux5 | Inc | JmpA | JmpB |   OutA |   OutB |    Out | CfgA | CfgB | CfgC | CfgD |                             STEW |
+----+------+------+------+------+------+------+-----+------+------+--------+--------+--------+------+------+------+------+----------------------------------+
|  0 |   14 |   00 |   00 |   08 |   00 |   00 |   0 |   01 |   05 | 0000a0 | 020080 | 000000 |   55 |   aa |    f |    0 | 0faa5500050080200000001280080028 |
|  1 |   0a |   00 |   00 |   00 |   00 |   00 |   0 |   02 |   00 | 0000c0 | 000000 | 000040 |   aa |   00 |    0 |    0 | 0000aa00060000000000802000000014 |
|  2 |   0a |   07 |   00 |   00 |   00 |   00 |   0 |   03 |   00 | 0021c0 | 000000 | 000040 |   aa |   00 |    a |    0 | 0a00aa010e00000000008030000001d4 |
|  3 |   0e |   07 |   00 |   00 |   00 |   00 |   0 |   04 |   02 | 000000 | 000000 | 000000 |   aa |   ff |    a |    0 | 0affaa000000000000000041000001dc |
|  4 |   0a |   00 |   00 |   00 |   00 |   00 |   0 |   00 |   00 | 000040 | 000000 | 000040 |   aa |   00 |    f |    0 | 0f00aa00020000000000800000000014 |
|  5 |   0a |   00 |   00 |   00 |   00 |   00 |   0 |   06 |   00 | 0000c0 | 000000 | 000040 |   aa |   00 |    0 |    0 | 0000aa00060000000000806000000014 |
|  6 |   0a |   07 |   00 |   00 |   00 |   00 |   0 |   07 |   00 | 0001c0 | 000000 | 000040 |   aa |   00 |    a |    0 | 0a00aa000e00000000008070000001d4 |
|  7 |   0e |   07 |   00 |   00 |   00 |   00 |   0 |   08 |   06 | 000000 | 000000 | 000000 |   aa |   ff |    a |    0 | 0affaa000000000000000083000001dc |
|  8 |   0a |   00 |   00 |   00 |   00 |   00 |   0 |   09 |   00 | 004040 | 000000 | 000040 |   aa |   00 |    f |    0 | 0f00aa02020000000000809000000014 |
|  9 |   08 |   00 |   00 |   00 |   00 |   00 |   0 |   00 |   00 | 001000 | 000000 | 000000 |   55 |   00 |    f |    0 | 0f005500800000000000000000000010 |
|  a |   00 |   00 |   00 |   00 |   00 |   00 |   0 |   00 |   00 | 000000 | 000000 | 000000 |   ff |   00 |    f |    0 | 0f00ff00000000000000000000000000 |
|  b |   00 |   00 |   00 |   00 |   00 |   00 |   0 |   00 |   00 | 000000 | 000000 | 000000 |   ff |   00 |    f |    0 | 0f00ff00000000000000000000000000 |
|  c |   00 |   00 |   00 |   00 |   00 |   00 |   0 |   00 |   00 | 000000 | 000000 | 000000 |   ff |   00 |    f |    0 | 0f00ff00000000000000000000000000 |
|  d |   00 |   00 |   00 |   00 |   00 |   00 |   0 |   00 |   00 | 000000 | 000000 | 000000 |   ff |   00 |    f |    0 | 0f00ff00000000000000000000000000 |
|  e |   00 |   00 |   00 |   00 |   00 |   00 |   0 |   00 |   00 | 000000 | 000000 | 000000 |   ff |   00 |    f |    0 | 0f00ff00000000000000000000000000 |
|  f |   00 |   00 |   00 |   00 |   00 |   00 |   0 |   00 |   00 | 000000 | 000000 | 000000 |   ff |   00 |    f |    0 | 0f00ff00000000000000000000000000 |
| 10 |   00 |   00 |   00 |   00 |   00 |   00 |   0 |   00 |   00 | 000000 | 000000 | 000000 |   ff |   00 |    f |    0 | 0f00ff00000000000000000000000000 |
| 11 |   00 |   00 |   00 |   00 |   00 |   00 |   0 |   00 |   00 | 000000 | 000000 | 000000 |   ff |   00 |    f |    0 | 0f00ff00000000000000000000000000 |
| 12 |   00 |   00 |   00 |   00 |   00 |   00 |   0 |   00 |   00 | 000000 | 000000 | 000000 |   ff |   00 |    f |    0 | 0f00ff00000000000000000000000000 |
| 13 |   00 |   00 |   00 |   00 |   00 |   00 |   0 |   00 |   00 | 000000 | 000000 | 000000 |   ff |   00 |    f |    0 | 0f00ff00000000000000000000000000 |
