+----+------+------+------+------+------+------+-----+------+------+--------+--------+--------+------+------+------+------+----------------------------------+
| ST | Mux0 | Mux1 | Mux2 | Mux3 | Mux4 | Mux5 | Inc | JmpA | JmpB |   OutA |   OutB |    Out | CfgA | CfgB | CfgC | CfgD |                             STEW |
+----+------+------+------+------+------+------+-----+------+------+--------+--------+--------+------+------+------+------+----------------------------------+
|  0 |   04 |   00 |   00 |   00 |   00 |   00 |   0 |   02 |   00 | 0008d0 | 000000 | 000850 |   aa |   00 |    f |    0 | 0f00aa00468000000010a02000000008 |
|  1 |   0a |   00 |   00 |   04 |   05 |   00 |   0 |   02 |   0c | 0000c0 | 000040 | 000040 |   aa |   11 |    0 |    0 | 0011aa00060000100000802600a40014 |
|  2 |   0a |   00 |   00 |   04 |   05 |   00 |   0 |   03 |   0c | 0000c0 | 000040 | 000040 |   aa |   11 |    0 |    0 | 0011aa00060000100000803600a40014 |
|  3 |   11 |   05 |   00 |   05 |   11 |   00 |   0 |   05 |   04 | 002340 | 000040 | 000040 |   99 |   66 |    9 |    0 | 096699011a0000100000805202250162 |
|  4 |   0b |   00 |   00 |   0b |   00 |   00 |   0 |   01 |   05 | 000840 | 002940 | 000040 |   aa |   55 |    0 |    0 | 0055aa0042000a5000008012800b0016 |
|  5 |   0e |   00 |   00 |   0e |   00 |   00 |   0 |   06 |   01 | 000040 | 000040 | 000040 |   aa |   55 |    0 |    0 | 0055aa000200001000008060800e001c |
|  6 |   0c |   00 |   0d |   0c |   0d |   00 |   0 |   01 |   07 | 000060 | 000040 | 000040 |   a0 |   77 |    0 |    0 | 0077a000030000100000801381ac6818 |
|  7 |   0c |   00 |   0d |   0c |   00 |   00 |   0 |   08 |   01 | 000040 | 000040 | 000040 |   0a |   55 |    0 |    0 | 00550a000200001000008080800c6818 |
|  8 |   13 |   00 |   1c |   13 |   1c |   00 |   0 |   01 |   09 | 000040 | 000040 | 000040 |   05 |   ee |    0 |    0 | 00ee050002000010000080148393e026 |
|  9 |   1c |   00 |   00 |   1c |   00 |   00 |   0 |   0a |   0b | 000040 | 000040 | 000040 |   55 |   aa |    0 |    0 | 00aa550002000010000080a5801c0038 |
|  a |   00 |   00 |   00 |   1d |   00 |   1e |   0 |   01 |   00 | 000050 | 000000 | 000000 |   ff |   00 |    0 |    4 | 4000ff000280000000000010781d0000 |
